Item,cvar,2.0,1.0,davies2009/mirex_qm_tempotracker,klapuri2006/percival2014,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,gkiokas2012/default,schreiber2017/mirex2017,schreiber2017/ismir2017,scheirer1998/percival2014,zplane/auftakt_v3,oliveira2010/ibt,boeck2015/tempodetector2016_default,echonest/version_3_2_1,schreiber2014/default
10258351.clip.jams,,234.5,234.5,114.844,114.84375,114,116,116,114.209,115.0,113.94829,113.94829,112.875,114.4,115.0,115.38,114.777,115.64371
104260.clip.jams,,56.5,56.5,109.957,108.799342,54,109,109,110.545,109.0,109.45344,109.45344,62.0292,110.8,105.0,222.22,109.442,109.41402
11173645.clip.jams,,55.5,55.5,109.957,164.0625,82,81,82,80.7495,82.0,81.89294,163.78587,164.552,162.3,83.0,82.19,81.891,81.89294
12185327.clip.jams,,38.0,38.0,151.999,75.444799,76,75,75,75.4448,76.0,150.77448,150.77448,75.7292,75.3,148.0,75.0,75.27,75.38724
1245162.clip.jams,,57.0,73.0,172.266,113.581731,116,84,116,79.5072,117.0,62.21813,124.43626,86.5051,84.7,112.0,115.38,115.098,115.64371
12638738.clip.jams,,62.0,62.0,126.048,124.529367,124,124,124,123.784,124.0,123.88427,123.88427,70.8556,123.9,123.0,125.0,123.868,123.88427
129570.clip.jams,,40.0,40.0,79.5072,156.605114,78,78,78,78.3026,78.0,156.64932,156.64932,78.2903,78.3,157.0,77.92,78.296,78.32466
1358509.clip.jams,,66.5,66.5,129.199,129.199219,129,128,128,128.397,128.0,128.53682,128.53682,128.937,128.6,129.0,127.66,128.59,128.53682
1393863.clip.jams,,42.0,42.0,84.7208,84.032012,84,84,84,84.032,168.0,84.02208,84.02208,126.109,84.0,85.0,84.51,168.046,84.02208
1433718.clip.jams,,45.0,45.0,90.6661,89.877717,90,90,90,89.8777,90.0,89.97578,89.97578,90.4276,90.0,91.0,89.55,89.897,89.97578
1492191.clip.jams,,47.0,47.0,95.7031,94.825115,95,95,95,94.8251,95.0,94.74662,94.74662,95.5818,94.9,96.0,95.24,95.02,94.70719
