Estimator,AOE1_MEAN,AOE1_STDEV,AOE2_MEAN,AOE2_STDEV
schreiber2017/mirex2017,0.09570231811063563,0.2826484843154671,0.012762581723950582,0.03646383466985886
boeck2020/dar,0.16403932483606654,0.37402006905412355,0.013063796863535574,0.03468816687385729
schreiber2018/cnn,0.17268670648305992,0.37342497307803957,0.013577596839996578,0.04218907424042216
schreiber2018/fcn,0.17475387126411307,0.3763567513587558,0.015864287846904707,0.049660244870325734
schreiber2017/ismir2017,0.18083308803357737,0.37798125429634005,0.018824615384217758,0.06072880642468563
schreiber2018/ismir2018,0.22205083417531643,0.4150565120536339,0.017495293060587006,0.05698510061954069
schreiber2014/default,0.2275457965977255,0.4015127666019574,0.02331872332354804,0.07401519736573517
echonest/version_3_2_1,0.23419332496867928,0.4086857354674986,0.030245035323474254,0.08315543139888307
boeck2019/multi_task,0.2449912827246346,0.42514397170901075,0.017614872580938558,0.053511252317633325
boeck2019/multi_task_hjdb,0.25228871326755065,0.4294795201280621,0.01906982179480044,0.05882912296499282
percival2014/stem,0.26230714040209113,0.4312649656227999,0.01584944724072509,0.04864200387431351
gkiokas2012/default,0.2745113095616453,0.4411031117471129,0.01700527172323376,0.05602163875029929
boeck2015/tempodetector2016_default,0.27460280140105664,0.4630650341784784,0.017601743591671458,0.04570300531850487
zplane/auftakt_v3,0.2800523215098369,0.43178444836330393,0.0310536401951504,0.08861578673688249
klapuri2006/percival2014,0.3140534260036843,0.4651402762549671,0.018843591252727828,0.05515802327028917
davies2009/mirex_qm_tempotracker,0.3383515102880877,0.4789031966259989,0.03250138087093081,0.06760729688463446
scheirer1998/percival2014,0.3552105319913273,0.4488248880290557,0.07084198866861524,0.13752927955151817
oliveira2010/ibt,0.3561557585089219,0.4716721976159769,0.03072059066827041,0.0758971958783389
