Estimator,Accuracy1,Accuracy2
schreiber2018/cnn,0.8290780141843972,0.9843971631205674
schreiber2018/fcn,0.8276595744680851,0.9794326241134752
schreiber2018/ismir2018,0.7808510638297872,0.9765957446808511
schreiber2014/default,0.7617021276595745,0.9602836879432625
boeck2015/tempodetector2016_default,0.7404255319148936,0.9780141843971631
echonest/version_3_2_1,0.7390070921985815,0.9290780141843972
percival2014/stem,0.7368794326241135,0.9794326241134752
schreiber2017/mirex2017,0.7283687943262411,0.9723404255319149
gkiokas2012/default,0.7269503546099291,0.9801418439716312
schreiber2017/ismir2017,0.724113475177305,0.973758865248227
zplane/auftakt_v3,0.7021276595744681,0.9390070921985816
klapuri2006/percival2014,0.6879432624113475,0.9687943262411347
davies2009/mirex_qm_tempotracker,0.6602836879432624,0.9347517730496454
oliveira2010/ibt,0.6304964539007092,0.9312056737588652
scheirer1998/percival2014,0.5354609929078015,0.7723404255319148
