Item,cvar,1.0,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
1164433.LOFI.jams,,86.0,139.675,68,68,136,135.999,135.9888,135.9888,68.18,136.02823
1416128.LOFI.jams,,70.0,139.675,140,140,140,140.148,140.01051,140.01051,139.53,140.01051
1426839.LOFI.jams,,176.0,89.1029,88,88,88,87.9654,88.083206,88.083206,88.24,88.083206
1478848.LOFI.jams,,70.0,126.048,100,100,100,130.012,99.99061,99.99061,50.0,99.95118
1579295.LOFI.jams,,87.0,92.2852,138,138,96,91.875,137.99965,137.99965,92.31,68.98012
1669212.LOFI.jams,,65.0,161.499,52,96,87,92.2852,74.99296,74.99296,115.38,94.47062
1895483.LOFI.jams,,90.0,135.999,100,100,100,99.384,99.99061,99.99061,50.0,99.99061
2016942.LOFI.jams,,52.0,143.555,128,80,108,75.4448,104.80088,104.80088,105.26,126.2894
2090586.LOFI.jams,,179.0,89.1029,89,89,89,89.1029,133.5048,133.5048,89.55,133.46538
297188.LOFI.jams,,56.0,112.347,112,112,112,112.043,112.01629,112.01629,111.11,112.01629
297513.LOFI.jams,,104.0,129.199,127,127,127,126.821,126.99911,126.99911,127.66,126.99911
298399.LOFI.jams,,150.0,112.347,166,167,83,83.3543,83.233505,83.233505,41.67,83.272934
3526880.LOFI.jams,,180.0,90.6661,90,90,90,89.8777,89.97578,89.97578,89.55,89.97578
3676879.LOFI.jams,,70.0,93.9631,140,140,140,140.148,140.01051,140.01051,139.53,140.08936
3831323.LOFI.jams,,53.0,105.469,105,105,105,104.933,104.998024,104.998024,105.26,104.998024
3868708.LOFI.jams,,70.0,143.555,140,140,140,140.148,140.01051,140.01051,139.53,139.97108
4262086.LOFI.jams,,67.0,135.999,133,133,133,132.938,132.99223,132.99223,133.33,132.99223
4315887.LOFI.jams,,70.0,143.555,140,140,140,140.148,140.01051,140.01051,139.53,139.97108
501562.LOFI.jams,,70.0,143.555,140,140,140,140.148,140.01051,140.01051,139.53,139.89223
