Estimator,alonso2004/ismir2004_corr,alonso2004/ismir2004_spec,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,dixon2001/ismir2004_indu,dixon2001/ismir2004_trac,dixon2003/ismir2004_auco,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/ismir2004,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/ismir2004,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,tzanetakis2002/ismir2004_hist,tzanetakis2002/ismir2004_mmul,tzanetakis2002/ismir2004_msum,uhle2004/ismir2004,zplane/auftakt_v3
alonso2004/ismir2004_corr,1.0,2.7953313543275556e-20,0.006548554164815948,0.7268965740450032,0.04827482267229228,6.072315110107035e-20,4.319634029993534e-25,4.318105765707379e-29,6.256920402914048e-08,3.0872582239024234e-08,1.291245576717961e-08,0.00016976524551496017,1.3664309886783775e-24,5.887961301673392e-17,1.1044598422156111e-17,2.2059158893159534e-31,4.257900937659435e-22,6.488025640136257e-25,5.45281561556576e-12,1.2219431222109323e-16,1.3960378358169854e-07,2.981830722210425e-11,0.0005628069172690393,0.49143707262163105,0.0006325589996912454,5.045470574670637e-11
alonso2004/ismir2004_spec,2.7953313543275556e-20,1.0,8.931423094216846e-13,3.0674621062084464e-21,7.298817603717346e-09,6.339943237945088e-66,6.252230235661174e-83,0.08117545364970405,3.1504682572912007e-06,5.63338062810018e-07,1.590790593773275e-06,7.2144037779848645e-12,0.718689380414053,0.4668501984131448,0.4902062109034654,0.06672682123603448,0.9986891401553561,0.272317406796369,0.00048807881410585773,0.2001733992339064,1.3781117687312304e-07,1.4363621645857013e-31,2.1803790826317097e-26,9.328619369694094e-16,2.331387962054338e-08,9.639355853582552e-05
boeck2015/tempodetector2016_default,0.006548554164815948,8.931423094216846e-13,1.0,0.00037126635070817526,0.8090755086919585,1.4381753518017516e-36,8.28504127991352e-48,1.4949422273221962e-25,0.0002464821753539826,0.00023442684760055177,5.9674972223168e-05,0.27319322004304264,4.6699114897534294e-20,2.901200946554356e-12,2.634176323923086e-12,4.0560340422158525e-33,1.881051775760912e-19,5.5361717117507575e-24,2.2226976957596624e-08,2.8120791233268054e-15,0.00037103994734190445,1.3887083880380647e-20,1.2547206495705998e-11,0.0008891354879499231,0.30700591179929043,6.176406908374052e-07
davies2009/mirex_qm_tempotracker,0.7268965740450032,3.0674621062084464e-21,0.00037126635070817526,1.0,0.0009637248748131955,7.18527356603682e-24,7.328572221089704e-29,2.685758898972181e-34,1.8286156437783891e-10,6.900673053063922e-20,2.6856003475139742e-21,1.2791065481462554e-08,7.265679968084791e-37,1.096174249174428e-23,5.89715397564847e-25,7.906865368816275e-46,7.047297870858165e-29,2.2884911696810285e-31,2.8750308533400757e-18,3.251038342739688e-21,1.7189794128703815e-13,4.2214299775361795e-12,2.7497007568433515e-05,0.7850023363372202,9.646098694197542e-05,5.703627617055649e-19
dixon2001/ismir2004_indu,0.04827482267229228,7.298817603717346e-09,0.8090755086919585,0.0009637248748131955,1.0,3.637357407504711e-29,3.375805090330645e-29,1.0474747496433822e-14,0.006806599535662712,0.005459386463420516,0.002693674926165381,0.324454491766489,9.233338850650555e-12,8.603923139859593e-09,1.2741977665011334e-07,3.470199597687365e-18,1.1650230154390766e-10,1.1906210790854039e-12,7.525085066714083e-05,2.8442967403059746e-08,0.010644295927919987,1.0057749351342051e-17,4.337720229450494e-09,0.003871304620296226,0.28924263900830943,0.00013540783157777882
dixon2001/ismir2004_trac,6.072315110107035e-20,6.339943237945088e-66,1.4381753518017516e-36,7.18527356603682e-24,3.637357407504711e-29,1.0,0.013055443923109856,7.28299690632923e-88,1.2538745819391117e-52,2.7735275586745536e-58,6.046582489994975e-59,1.8011620223458874e-45,1.669131611385669e-84,5.676972007892258e-59,3.6253099013647206e-62,1.0113063608865017e-97,4.876348706128373e-74,5.277416290611543e-78,4.153162392680081e-61,2.7171227958130477e-67,6.4384122436819366e-52,0.6126703033944905,6.564121282846505e-10,4.864674295063379e-17,4.304383708841368e-37,4.125119159121549e-60
dixon2003/ismir2004_auco,4.319634029993534e-25,6.252230235661174e-83,8.28504127991352e-48,7.328572221089704e-29,3.375805090330645e-29,0.013055443923109856,1.0,1.8562706823926217e-107,1.788620738761456e-60,1.978473708245299e-68,4.255938947532822e-71,8.14269214481881e-58,3.0506348567881437e-102,3.5093238269872108e-74,2.1754913010735156e-77,1.878670941618309e-116,7.166833519937101e-94,2.0478831723207967e-102,6.833140199644353e-78,2.1665790746772384e-87,1.9499893677882822e-68,0.27414755341059555,3.2823059146488408e-12,5.65157565579193e-19,3.7792455562649176e-42,8.91080317759649e-76
echonest/version_3_2_1,4.318105765707379e-29,0.08117545364970405,1.4949422273221962e-25,2.685758898972181e-34,1.0474747496433822e-14,7.28299690632923e-88,1.8562706823926217e-107,1.0,5.391078451669182e-14,1.8378234389903135e-16,1.2391035761955147e-15,1.5528437625765784e-25,0.006833089770350445,0.0040695765076943675,0.009278116688047313,0.9179032478578828,0.0540220633900238,0.525986841030794,4.9617963847401216e-11,0.00010210461752425686,1.7494547962113254e-17,1.0099477737035418e-41,2.0799762633648186e-40,2.0085649584122317e-25,2.6861312586409768e-15,4.745530037806231e-13
gkiokas2012/default,6.256920402914048e-08,3.1504682572912007e-06,0.0002464821753539826,1.8286156437783891e-10,0.006806599535662712,1.2538745819391117e-52,1.788620738761456e-60,5.391078451669182e-14,1.0,0.7927958379170155,0.9671009208637984,0.01141585738878222,1.4226045950262876e-08,7.890322863396319e-05,2.9255034203504253e-05,1.884021159143381e-16,8.345460364223874e-09,1.9901878259140483e-12,0.06533835160218252,2.3947704904393912e-05,0.8110194443211872,7.649101301337316e-27,2.2521447613960814e-19,1.2249396809638042e-08,0.05756601862050862,0.19415269353320905
klapuri2006/ismir2004,3.0872582239024234e-08,5.63338062810018e-07,0.00023442684760055177,6.900673053063922e-20,0.005459386463420516,2.7735275586745536e-58,1.978473708245299e-68,1.8378234389903135e-16,0.7927958379170155,1.0,0.14640128306954506,9.308305150396336e-05,4.783948538557215e-18,1.2442522803983973e-06,4.265942015259168e-07,1.9948410024234444e-25,2.6582735668368395e-12,5.513524742686213e-16,0.01929832034922222,2.6918264315230315e-06,0.9892482751697047,2.1174173198502402e-29,4.6684358726455145e-25,9.415733610609304e-10,0.027289038460798047,0.028208048814091658
