Estimator,Size,Min,Max,Avg,Stdev,Sweet Oct. Start,Sweet Oct. Coverage
boeck2015/tempodetector2016_default,222,41.96,230.77,112.29018018018019,30.609127227848987,70.0,0.8153153153153153
davies2009/mirex_qm_tempotracker,222,80.7495,234.908,125.64631846846846,26.739424508782516,81.0,0.9279279279279279
echonest/version_3_2_1,222,0.0,191.719,99.74478828828829,28.192018772773032,71.0,0.7567567567567568
gkiokas2012/default,222,52.0,244.0,112.23873873873873,31.589300758071907,73.0,0.8288288288288288
klapuri2006/percival2014,222,74.359263,161.499023,114.1079407117117,19.76336976845107,76.0,0.9774774774774775
oliveira2010/ibt,222,82.0,161.0,116.1981981981982,20.30438947698103,81.0,1.0
percival2014/stem,222,50.7908,151.999,105.83912702702703,22.204973622186117,72.0,0.9324324324324325
scheirer1998/percival2014,222,0.0,181.818,104.54081441441441,35.86794396921442,74.0,0.7702702702702703
schreiber2014/default,222,54.845005,164.49559,101.40567991891892,22.597838888216867,69.0,0.8963963963963963
schreiber2017/ismir2017,222,13.247967,176.32413,103.31023516666667,30.254864378396682,74.0,0.7612612612612613
schreiber2017/mirex2017,222,13.247967,160.3556,100.92534536036037,30.142206259540124,74.0,0.7522522522522522
schreiber2018/cnn,222,63.0,216.0,116.02702702702703,29.140620048701702,81.0,0.8783783783783784
schreiber2018/fcn,222,50.0,208.0,114.57657657657657,30.17461986760965,75.0,0.8243243243243243
schreiber2018/ismir2018,222,65.0,208.0,114.3108108108108,26.11613066263023,77.0,0.9144144144144144
zplane/auftakt_v3,222,65.5,164.8,111.45990990990991,22.530493484241102,76.0,0.918918918918919
