Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0,-0.013187411256496638,0.029255329939827792,-0.009423253886621309,-0.04576799374607362,0.02601758784416407,0.02601758784416407,0.024792461451291777,0.024792461451291777,0.024792461451291777
1,0.012556755279170616,0.015418472104202137,0.00806791255877924,-0.012323125230101118,-0.0019142951130021848,-0.0019142951130021848,-0.004817016297786562,-0.004817016297786562,-0.004817016297786562
2,0.009695918771073782,0.04960991702963873,-0.001821385565914183,-0.04855957050785923,0.013631977460678605,0.013631977460678605,-0.06479172422619896,0.025973739696983158,0.008271737963524487
3,0.00765838151887961,0.024946732230882465,-0.0018545135493464187,-0.03749317212829855,0.021069558169414304,0.021069558169414304,0.011495638837818949,-0.03430805077530581,0.011495638837818949
4,-5.770895582547076e-05,0.025644968976745196,-0.01477200732907347,-0.04325024708101326,-0.0452836585893321,-0.0452836585893321,0.0076739278854179825,0.0076739278854179825,-0.042952145184550074
5,0.012407769172793013,0.011138141088967431,0.003945780253372787,-0.04464784105590934,0.011451522180560772,0.011451536135627167,0.020057652341237995,0.020057652341237995,0.020057652341237995
6,-3.847238073682061e-05,0.03740377733432532,0.014564778037253576,-0.03841291770520457,0.011423368692783762,0.011423368692783762,0.011495638837817042,0.011495638837817042,0.011495638837817042
7,0.011433616884527473,0.018435170723428373,0.01343176784920372,-0.4812862050559552,0.052543219934120304,0.052543219934120304,0.0027225201724439454,0.06242876629671155,0.04279995954777913
8,-3.8472380715997784e-05,-0.0038629335863699277,-0.013324519061876977,0.37334950658331834,0.4014134438821683,0.4014134438821683,0.4005379295837371,0.4005379295837371,0.4005379295837371
9,-0.004817016297771617,0.008636310384905806,-0.002591573150702636,-0.0062329947839436135,-0.004810343848637479,-0.004810343848637479,-0.004817016297771617,0.013104891699490731,0.013104891699490731
10,4.808903321301517e-05,0.032562149630378144,-0.0008603912915193401,0.0008692503788430183,0.0008692503788430183,0.0008692503788430183,0.0009614762374412458,0.0009614762374412458,0.0009614762374412458
11,1.2022408579252243e-05,0.04402042752224425,0.0009519847914791741,0.0009307237259192343,0.000930818642086602,0.000930818642086602,0.0009614762374438068,0.0009614762374438068,0.0009614762374438068
12,-0.011883718287298495,0.0030581553202914417,-0.010747434834015001,-0.06768322736433072,-0.012256174119124512,-0.012256174119124512,-0.002526928029046517,0.011972641666068633,-0.002526928029046517
13,1.4426878274712997e-05,0.4367090994768756,-0.003861342367789679,0.021321846714633105,0.006448544711851982,0.006448544711851982,0.4322467893110671,0.40853072033725957,-0.014499569695114766
14,-0.005860573120292875,0.021033915517123292,-0.0007923003765451947,0.04036423900819198,0.009763198706091462,0.009763198706091462,-0.0025991910479575583,0.020484422065083715,-0.0260581638719465
15,-1.3774733966404212e-14,0.019104077232513995,0.005026239996687189,0.00213821997239683,0.0010018346101477722,0.0010018346101477722,-1.3774733966404212e-14,-1.3774733966404212e-14,-1.3774733966404212e-14
16,0.030243466659295414,0.03724150307365616,0.023944833998750005,0.3428761485002821,0.33516122692734734,0.33516122692734734,0.05666059335081356,0.05666059335081356,0.05666059335081356
17,-5.770895582691236e-05,0.025644968976743936,0.009342012088919936,0.005202066830336167,0.00765609307958724,0.00765609307958724,0.007673927885416708,0.007673927885416708,0.007673927885416708
18,0.007353997749747879,0.014370707829353454,0.001545620618908917,0.001944217732881467,0.001944217732881467,0.001944217732881467,0.002042371636018294,0.002042371636018294,0.002042371636018294
19,0.01934608880481197,0.013453326682677274,0.002225443147068983,0.00568375573436766,0.0003622513088666435,0.0003622513088666435,0.0,0.0,0.0
20,-0.009474685085284765,0.023039375511880195,0.0006715624834257998,-0.04622304675527744,0.0017500885357437516,0.0017500885357437516,0.009586048829203024,-0.00856129788105658,0.009586048829203024
21,1.442687826702485e-05,-0.4929015726317337,0.0024800239884444656,-0.07030879024607914,0.03360002940084242,0.03360002940084242,-0.014499569695122531,-0.014499569695122531,-0.014499569695122531
22,-0.41067274257703734,0.17303700896217283,0.23290882784880718,0.03540819622999213,0.07591570511513994,0.07591570511513994,0.5527595966283007,-0.20487956580265548,-0.15374071681085447
23,-0.028533085271583287,0.03617507814770278,0.0022224421620449684,0.29731371513252863,0.47561498462375373,0.0605774507606161,0.03562390973072122,-0.0489096004809464,0.01197264166607594
24,0.00728242734231776,0.028942727266566843,-0.0029067668847385843,0.33215200956588725,0.438067770401576,0.438067770401576,0.055504186116890876,-0.007231569231071839,-0.007231569231071839
25,-1.4427022543576404e-05,0.012901390570300183,-0.0024712879709267318,-0.02571421149676849,-0.009972691994726706,-0.009972691994726706,0.016258584863790688,-0.00337022188514177,-0.00337022188514177
26,-0.013643678843136026,0.0070304074511991,-0.0009687342139878927,-0.002769041459644154,-0.0037666680204692655,-0.0037666680204692655,-0.00361125355236326,-0.00361125355236326,-0.00361125355236326
27,0.03097399583261984,0.017293159687454315,-0.0006281899870806797,0.28795590125790255,0.033146191333338605,0.033146191333338605,0.0038420662943908493,0.015069321717644715,0.0038420662943908493
28,0.0,0.03617507814770278,-0.0019609929066089007,0.00024367465754749417,0.00024367465754749417,0.00024367465754749417,0.0,0.01197264166607594,0.01197264166607594
29,-0.008006462071311504,0.01769621586125911,0.0013907744403981654,-0.0002926600358975221,-0.0002926600358975221,-0.0002926600358975221,-0.00027482523006808164,-0.00027482523006808164,-0.00027482523006808164
30,0.005397750341815056,0.0076201925038600305,-0.0007346962344017532,0.024475868236079758,0.0008941363548007641,0.0008941363548007641,0.005397750341815056,0.005397750341815056,0.017370392007890968
31,-0.017249137819531083,0.030388817299162516,-0.00523343142207901,-0.02774723471582153,0.003595398073650909,0.003595398073650909,-0.005782352593984401,-0.005782352593984401,-0.005782352593984401
32,-0.03517259711833803,-0.004800611163158405,-0.04543701244295129,-0.023375852096929377,-0.03395074544689173,-0.03395074544689173,-0.04097178105630535,-0.021072223618600557,-0.04097178105630535
33,-0.00010820618585023425,0.024464721626838652,-0.002151579879133837,-0.0020426070398077596,-0.001515687014702643,-0.001515687014702643,-0.0014434168696695203,-0.0014434168696695203,-0.0014434168696695203
34,0.00327456498707915,0.03176097614434254,0.02229939066883546,0.0016439848972549032,-0.004347761488219444,-0.004347652718346469,-0.011297137656771712,0.010397933442547304,0.010397933442547304
35,0.008590867115704648,0.015592420954605562,0.005604633502770121,-0.026583146629785524,-0.01682421458295318,-0.01682421458295318,-0.00012022959637891202,0.01000398767732838,0.01000398767732838
